metadata,chem_id,similarity,name,dsstox_sid,dsstox_cid,casrn,mol_weight,smiles,jaccard_chm_pfas,fp_list,fp_bitstring
,DTXCID70163474,0.166666667,16:2 Fluorotelomer dihydrogen phosphate,DTXSID40240983,DTXCID70163474,94200-55-2,944.163,OP(O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.166666667,"pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_O,pfas_chain:FT_n2_OP,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_C9_plus,pfas_chain:perF-linear_cap_C12_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C9_plus",1.01E+50
,DTXCID001022386,0.166666667,16:2 Fluorotelomer phosphate,DTXSID00881073,DTXCID001022386,93857-48-8,978.225,[NH4+].[NH4+].[O-]P([O-])(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.166666667,"pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_O,pfas_chain:FT_n2_OP,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_C9_plus,pfas_chain:perF-linear_cap_C12_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C9_plus",1.01E+50
,DTXCID701782298,0.166666667,17-Acetylmedroxyprogesterone-3-enol heptafluorobutyrate,DTXSID601353551,DTXCID701782298,70239-86-0,582.556,CC1C[C@H]2[C@@H]3CC[C@](OC(C)=O)(C(C)=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CC=C(OC(=O)C(F)(F)C(F)(F)C(F)(F)F)C=C12,0.166666667,"pfas_bond:C=O_carbonyl_generic_CF,pfas_chain:perF-linear_cap_C3_excl",1.00E+114
,DTXCID501324789,0.166666667,"17-Bromo-1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluoroheptadecane",DTXSID40895270,DTXCID501324789,155401-47-1,553.246,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCCBr,0.166666667,"pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.10E+24
,DTXCID301527816,0.166666667,"17-Oxoandrosta-3,5-dien-3-yl perfluorobutanoate",DTXSID201045738,DTXCID301527816,18072-19-0,482.439,C[C@]12CC[C@H]3[C@@H](CC=C4C=C(CC[C@]34C)OC(=O)C(F)(F)C(F)(F)C(F)(F)F)[C@@H]1CCC2=O,0.166666667,"pfas_bond:C=O_carbonyl_generic_CF,pfas_chain:perF-linear_cap_C3_excl",1.00E+114
,DTXCID601326221,0.166666667,"17-Oxoestra-1,3,5(10)-trien-3-yl heptafluorobutanoate",DTXSID90896732,DTXCID601326221,2192-60-1,466.396,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=CC=C(OC(=O)C(F)(F)C(F)(F)C(F)(F)F)C=C3CC[C@@]21[H],0.166666667,"pfas_bond:C=O_carbonyl_generic_CF,pfas_chain:perF-linear_cap_C3_excl",1.00E+114
,DTXCID401518054,0.166666667,17:2 Fluorotelomer alcohol,DTXSID101033021,DTXCID401518054,176676-71-4,914.192,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.166666667,"pfas_bond:COH_alcohol_pri-alkyl_CF,pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_O,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_C9_plus,pfas_chain:perF-linear_cap_C12_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C9_plus",1.00E+98
,DTXCID701527820,0.166666667,"17alpha-(Acetyloxy)androsta-3,5-dien-3-yl perfluorobutanoate",DTXSID401045734,DTXCID701527820,18072-27-0,526.492,CC(=O)O[C@@H]1CC[C@H]2[C@@H]3CC=C4C=C(CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,0.166666667,"pfas_bond:C=O_carbonyl_generic_CF,pfas_chain:perF-linear_cap_C3_excl",1.00E+114
,DTXCID701527818,0.166666667,"17alpha-[(Perfluorobutanoyl)oxy]androsta-3,5-dien-3-yl perfluorobutanoate",DTXSID801045736,DTXCID701527818,18072-22-5,680.479,C[C@]12CC[C@H]3[C@@H](CC=C4C=C(CC[C@]34C)OC(=O)C(F)(F)C(F)(F)C(F)(F)F)[C@@H]1CC[C@H]2OC(=O)C(F)(F)C(F)(F)C(F)(F)F,0.166666667,"pfas_bond:C=O_carbonyl_generic_CF,pfas_chain:perF-linear_cap_C3_excl",1.00E+114
,DTXCID401527819,0.166666667,"17beta-(Acetyloxy)androsta-3,5-dien-3-yl perfluorobutanoate",DTXSID101045735,DTXCID401527819,18072-24-7,526.492,CC(=O)O[C@H]1CC[C@H]2[C@@H]3CC=C4C=C(CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,0.166666667,"pfas_bond:C=O_carbonyl_generic_CF,pfas_chain:perF-linear_cap_C3_excl",1.00E+114
