Group,Mouse ID,Sex,Number of Fecal Pellet**,PFOA,PFOS,PFBA,PFPeA,PFHxA,PFHpA,PFNA,PFDA,PFUdA,PFDoA,PFTrDA,PFTeDA,HFPO-DA,DONA,PFBS,PFPeS,PFHxS,PFHpS,PFNS,PFDS,4_2-FTS,6_2_FTS,8_2-FTS
PFOA 0.166,MA81,Male,1,369.5,<MDL,0.247,<MDL,<MDL,<MDL,<MDL,0.997,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 0.166,MA82,Male,0,,,,,,,,,,,,,,,,,,,,,,,
PFOA 0.166,MA83,Male,0,,,,,,,,,,,,,,,,,,,,,,,
PFOA 0.166,MA84,Male,0,,,,,,,,,,,,,,,,,,,,,,,
PFOA 0.166,MA85,Male,1,97.7,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.583,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 0.166,MA86,Male,0,,,,,,,,,,,,,,,,,,,,,,,
PFOA 0.166,MA87,Male,1,78.5,<MDL,0.244,<MDL,<MDL,<MDL,<MDL,0.305,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 0.166,MA88,Male,1,85.9,<MDL,0.423,<MDL,<MDL,<MDL,<MDL,0.541,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 0.5,MA89,Male,0,,,,,,,,,,,,,,,,,,,,,,,
PFOA 0.5,MA90,Male,1,475,<MDL,0.439,<MDL,<MDL,<MDL,<MDL,1.096,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.197,<MDL,<MDL
PFOA 0.5,MA91,Male,1,352,<MDL,0.341,<MDL,<MDL,<MDL,<MDL,0.793,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 0.5,MA92,Male,0,,,,,,,,,,,,,,,,,,,,,,,
PFOA 0.5,MA93,Male,1,1101,1.523,0.753,<MDL,0.198,<MDL,<MDL,1.887,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 0.5,MA94,Male,1,338,0.548,1.098,<MDL,0.181,<MDL,<MDL,0.931,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 0.5,MA95,Male,1,218,<MDL,1.57,<MDL,<MDL,<MDL,<MDL,1.11,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 0.5,MA96,Male,1,275,<MDL,1.81,<MDL,0.146,<MDL,<MDL,0.963,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 1,MA97,Male,0,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1,MA98,Male,1,544,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,4.083,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 1,MA99,Male,1,702,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,2.665,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 1,MA100,Male,1,607,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,2.745,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 1,MA101,Male,0,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1,MA102,Male,0,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1,MA103,Male,0,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1,MA104,Male,1,551,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,3.611,<MDL,1.591,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 1.5,MA105,Male,1,1177,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,6.039,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 1.5,MA106,Male,1,963,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,4.928,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 1.5,MA107,Male,0,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1.5,MA108,Male,0,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1.5,MA109,Male,2,2080,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,6.091,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 1.5,MA110,Male,1,820,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,4.228,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 1.5,MA111,Male,0,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1.5,MA112,Male,1,736,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,3.956,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 0.166,MS113,Male,0,,,,,,,,,,,,,,,,,,,,,,,
PFOS 0.166,MS114,Male,1,<MDL,1005,0.597,<MDL,0.114,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,4.004,11.695,0.445,0.319,<MDL,<MDL,<MDL
PFOS 0.166,MS115,Male,0,,,,,,,,,,,,,,,,,,,,,,,
PFOS 0.166,MS116,Male,1,0.335,778,0.912,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,5.809,13.439,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 0.166,MS117,Male,1,0.628,675,0.659,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,2.697,9.563,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 0.166,MS118,Male,1,0.625,850,0.483,<MDL,0.106,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,3.363,10.516,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 0.166,MS119,Male,1,1.924,1367,2.164,<MDL,0.344,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,3.961,15.063,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 0.166,MS120,Male,1,0.589,933,0.539,<MDL,0.125,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,4.281,11.848,<MDL,0.258,<MDL,<MDL,<MDL
PFOS 0.5,MS121,Male,0,,,,,,,,,,,,,,,,,,,,,,,
PFOS 0.5,MS122,Male,1,<MDL,2737,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,15.091,40.369,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 0.5,MS123,Male,1,<MDL,2734,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,11.883,34.896,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 0.5,MS124,Male,1,<MDL,2177,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.553,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,12.354,29.232,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 0.5,MS125,Male,1,<MDL,2065,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.708,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,9.098,25.983,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 0.5,MS126,Male,1,<MDL,2902,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.579,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,13.08,36.002,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 0.5,MS127,Male,1,<MDL,2760,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,17.508,39.196,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 0.5,MS128,Male,1,<MDL,2620,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.789,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,12.071,33.622,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 1,MS129,Male,1,<MDL,4965,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,33.431,73.943,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 1,MS130,Male,1,<MDL,4327,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,24.416,72.486,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 1,MS131,Male,1,<MDL,5284,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,49.153,104.239,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 1,MS132,Male,1,<MDL,4881,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,1.747,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,22.471,59.135,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 1,MS133,Male,1,<MDL,6868,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,26.367,84.482,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 1,MS134,Male,0,,,,,,,,,,,,,,,,,,,,,,,
PFOS 1,MS135,Male,1,34.3,5181,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,33.221,76.781,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 1,MS136,Male,2,<MDL,4663,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,23.996,63.577,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 1.5,MS137,Male,1,<MDL,9596,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,2.357,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,35.975,108.24,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 1.5,MS138,Male,1,<MDL,7725,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,4.86,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,43.42,117.504,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 1.5,MS139,Male,1,<MDL,7839,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,3.538,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,27.012,90.005,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 1.5,MS140,Male,1,<MDL,8084,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,5.675,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,27.306,78.97,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 1.5,MS141,Male,1,<MDL,12065,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,4.993,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,38.518,127.328,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 1.5,MS142,Male,1,<MDL,16853,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,2.957,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,183.725,328.463,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 1.5,MS143,Male,1,<MDL,7043,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,90.878,167.456,<MDL,<MDL,<MDL,<MDL,<MDL
PFOS 1.5,MS144,Male,0,,,,,,,,,,,,,,,,,,,,,,,
Naive,FN145,Female,0,,,,,,,,,,,,,,,,,,,,,,,
Naive,FN146,Female,1,<MDL,<MDL,0.262713118,<MDL,0.063448583,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
Naive,FN147,Female,1,5.062040415,<MDL,0.14556126,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
Naive,FN148,Female,0,,,,,,,,,,,,,,,,,,,,,,,
Naive,FN149,Female,1,<MDL,1.12020817,0.141849499,<MDL,0.042859556,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
Naive,FN150,Female,2,0.060345971,<MDL,0.094853665,<MDL,0.025063795,0.034201524,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
Naive,FN151,Female,1,<MDL,0.345928506,0.105882011,<MDL,0.04971434,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
Naive,FN152,Female,1,0.122649005,<MDL,0.178262536,<MDL,0.050824706,0.076939885,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
Vehicle,FV153,Female,1,<MDL,<MDL,0.324685113,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
Vehicle,FV154,Female,1,<MDL,<MDL,0.28451713,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
Vehicle,FV155,Female,1,<MDL,<MDL,0.266718832,<MDL,0.055321993,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
Vehicle,FV156,Female,1,<MDL,<MDL,0.573157727,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
Vehicle,FV157,Female,1,<MDL,<MDL,0.206683278,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
Vehicle,FV158,Female,0,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,FV159,Female,1,0.144835486,0.430943186,0.139216005,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.044146103,<MDL,<MDL
Vehicle,FV160,Female,1,<MDL,<MDL,0.620656963,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 0.166,FA161,Female,0,,,,,,,,,,,,,,,,,,,,,,,
PFOA 0.166,FA162,Female,1,135.876962,0.95254901,1.146055726,<MDL,0.237472229,<MDL,<MDL,0.826886205,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 0.166,FA163,Female,1,267.314561,0.503946536,0.661217132,<MDL,0.162607462,<MDL,<MDL,0.990688095,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 0.166,FA164,Female,0,,,,,,,,,,,,,,,,,,,,,,,
PFOA 0.166,FA165,Female,1,88.36944362,0.436813803,0.235799388,<MDL,0.087765781,<MDL,<MDL,0.740800278,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 0.166,FA166,Female,1,450.0959085,0.757395386,<MDL,<MDL,<MDL,<MDL,<MDL,1.456045254,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 0.166,FA167,Female,1,123.7400996,0.324309943,0.202248846,<MDL,0.079018445,<MDL,<MDL,0.632527964,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 0.166,FA168,Female,1,154.0032754,0.574980261,0.703372163,<MDL,0.140796367,<MDL,<MDL,0.674629129,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 0.5,FA169,Female,1,440.3302525,0.720558422,0.451976886,<MDL,0.190586939,<MDL,<MDL,1.224623588,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 0.5,FA170,Female,0,,,,,,,,,,,,,,,,,,,,,,,
PFOA 0.5,FA171,Female,1,390.3632918,<MDL,0.337967149,<MDL,<MDL,<MDL,<MDL,1.239506421,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 0.5,FA172,Female,1,1005.746672,3.255023394,1.054109325,<MDL,<MDL,<MDL,<MDL,2.453669364,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 0.5,FA173,Female,2,292.7157029,<MDL,<MDL,<MDL,0.117481077,<MDL,<MDL,0.80438692,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 0.5,FA174,Female,1,281.3551328,0.587213746,<MDL,<MDL,<MDL,<MDL,<MDL,1.233270153,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 0.5,FA175,Female,1,396.2362543,0.473725738,0.408223729,<MDL,<MDL,<MDL,<MDL,1.365794676,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 0.5,FA176,Female,1,277.0707259,<MDL,0.738103439,<MDL,0.399375019,<MDL,<MDL,1.286389076,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 1,FA177,Female,1,631.1847824,<MDL,6.144877846,<MDL,<MDL,<MDL,<MDL,5.744362687,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 1,FA178,Female,1,639.681403,<MDL,1.82055834,<MDL,<MDL,<MDL,<MDL,4.292637553,<MDL,0.775838067,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 1,FA179,Female,1,928.4224834,<MDL,4.060843728,<MDL,<MDL,<MDL,<MDL,4.54021338,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 1,FA180,Female,1,729.7762382,<MDL,6.308897834,<MDL,<MDL,<MDL,<MDL,7.234210438,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 1,FA181,Female,1,578.1401197,<MDL,2.105504537,<MDL,<MDL,<MDL,<MDL,3.80713062,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 1,FA182,Female,1,641.2106855,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,4.308261409,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 1,FA183,Female,0,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1,FA184,Female,1,587.3177517,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,3.38052949,<MDL,1.130678866,<MDL,<MDL,<MDL,<MDL,1.956038482,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 1.5,FA185,Female,0,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1.5,FA186,Female,1,666.8558519,<MDL,3.028979679,<MDL,<MDL,<MDL,<MDL,4.587644835,<MDL,1.050759894,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 1.5,FA187,Female,0,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1.5,FA188,Female,1,693.3723544,<MDL,2.31745068,<MDL,<MDL,<MDL,<MDL,4.309117036,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 1.5,FA189,Female,1,689.6518476,<MDL,4.168011316,<MDL,<MDL,<MDL,<MDL,4.630936503,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 1.5,FA190,Female,1,1105.584672,<MDL,2.401834113,<MDL,<MDL,<MDL,<MDL,5.350392558,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
PFOA 1.5,FA191,Female,0,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1.5,FA192,Female,0,,,,,,,,,,,,,,,,,,,,,,,
PFOS 0.166,FS193,Female,1,1.598449509,725.2959875,0.292023101,<MDL,0.12738379,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,4.332085181,10.70411611,<MDL,<MDL,<MDL,<MDL,<MDL
