metadata,chem_id,similarity,name,dsstox_sid,dsstox_cid,casrn,mol_weight,smiles,jaccard_chm_pfas,fp_list,fp_bitstring
,DTXCID701324111,0.090909091,3-[2-(Perfluorohexyl)ethylthio]propanoic acid lithium salt,DTXSID80893396,DTXCID701324111,433333-62-1,458.16,[Li+].[O-]C(=O)CCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.090909091,"pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_S,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.00E+50
,DTXCID201517848,0.090909091,3-[Dimethyl(2-{[(perfluorohexyl) sulfonyl]amino}ethyl)ammonio]propanoate,DTXSID301032831,DTXCID201517848,34695-30-2,570.37,C[N+](C)(CCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC([O-])=O,0.090909091,"pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_S,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.00E+50
,DTXCID401765146,0.090909091,3-[Dimethyl(3-{[([perfluorohexyl]ethyl)sulfonyl]amino}propyl)ammonio]-2-hydroxypropane-1-sulfonate,DTXSID501335390,DTXCID401765146,76201-56-4,650.47,C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(O)CS([O-])(=O)=O,0.090909091,"pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_S,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.00E+50
,DTXCID301517827,0.090909091,"3-[[2-[(Perfluorohexyl)ethylthio]acetyl]amino]-N,N,N-trimethyl-1-propanaminium",DTXSID401032810,DTXCID301517827,1513864-00-0,537.4,C[N+](C)(C)CCCNC(=O)CSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.090909091,"pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_S,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.00E+50
,DTXCID401765889,0.090909091,"38-(Perfluorohexyl)-3,6,9,12,15,18,21,24,27,30,33,36‐dodecaoxaoctatriacontan‐1‐ol",DTXSID401027669,DTXCID401765889,NOCAS_1027669,892.742,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.090909091,"pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_O,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.01E+50
,DTXCID001520304,0.090909091,3‐Hydroxy‐3‐[2-(perfluorohexyl)ethylsulfanyl]propanoic acid,DTXSID701036085,DTXCID001520304,NOCAS_1036085,468.23,OC(CC(O)=O)SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.090909091,"pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_S,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.00E+50
,DTXCID30702924,0.090909091,"4,4,5,5,6,6,7,7,8,8,9,9,9-Tridecafluoro-1-phenylnon-1-en-3-one",DTXSID70752180,DTXCID30702924,89176-08-9,450.199,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)C=CC1=CC=CC=C1,0.090909091,"pfas_bond:C=O_carbonyl_generic_CF,pfas_bond:CC(=O)C_ketone_generic_CF,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.00E+114
,DTXCID80333186,0.090909091,"4,4,5,5,6,6,7,7,8,8,9,9,9-Tridecafluoro-1-phenylnonane-1,3-dione",DTXSID50382161,DTXCID80333186,99338-16-6,466.198,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)CC(=O)C1=CC=CC=C1,0.090909091,"pfas_bond:C=O_carbonyl_generic_CF,pfas_bond:CC(=O)C_ketone_generic_CF,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.00E+114
,DTXCID401325253,0.090909091,"4,4,5,5,6,6,7,7,8,8,9,9,9-Tridecafluorononyl 2-methylprop-2-enoate",DTXSID90895740,DTXCID401325253,1228350-17-1,446.208,CC(=C)C(=O)OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.090909091,"pfas_chain:FT_n3_hetero,pfas_chain:FT_n3_O,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.01E+43
,DTXCID901511241,0.090909091,"4,4,5,5-Tetrafluoro-1,3-dioxolane",DTXSID501027036,DTXCID901511241,76492-96-1,146.041,FC1(F)OCOC1(F)F,0.090909091,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:COC_ether_aliphatic_FCOCF,pfas_bond:COC_ether_FCOC,pfas_ring:generic_CF",1.00E+118
,DTXCID101325709,0.090909091,"4,4,5,5-Tetramethyl-2-[5-(tridecafluorohexyl)thiophen-2-yl]-1,3,2-dioxaborolane",DTXSID30896216,DTXCID101325709,1338083-27-4,528.14,CC1(C)OB(OC1(C)C)C1=CC=C(S1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.090909091,"pfas_bond:aromatic_FCc1c,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus,pfas_ring:hetero_[5]_Z_1-Z_CF",1.00E+127
,DTXCID001507734,0.090909091,"4,4-Bis[2-(perfluorohexyl)ethylthio]pentanoic acid",DTXSID601023394,DTXCID001507734,67333-58-8,858.44,CC(CCC(O)=O)(SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.090909091,"pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_S,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.00E+50
