Group,Mouse.ID,Sex,PFOA,PFOS,PFBA,PFPeA,PFHxA,PFHpA,PFNA,PFDA,PFUdA,PFDoA,PFTrDA,PFTeDA,PFBS,PFPeS,PFHxS,PFHpS,PFNS,PFDS,X4_2.FTS,X6_2_FTS,X8_2.FTS,N.MeFOSAA,N.EtFOSAA,FOSA
PFOS 0.5,FS204,Female,0.078,142.6642886,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.449646245,1.608399971,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOS 0.5,FS205,Female,0.078,178.9598219,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.406951095,1.857931791,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOS 0.5,FS206,Female,0.078,168.794181,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,2.237328814,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOS 0.5,FS207,Female,0.078,150.7843401,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,2.267917938,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOS 0.5,FS208,Female,0.078,161.5095126,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,2.177747185,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOS 1,FS209,Female,0.3905,335.370382,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,1.018167715,4.084305958,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOS 1,FS210,Female,0.3905,305.7899842,0.196,0.213,0.2865,0.229331747,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,1.011407551,3.602181499,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOS 1,FS211,Female,0.3905,294.9778757,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,1.071357188,3.914196043,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOS 1,FS212,Female,0.3905,275.6246954,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.768596257,3.078276734,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOS 1,FS213,Female,0.3905,336.6168748,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,1.329069221,0.6315,0.853974082,4.482412033,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOS 1,FS214,Female,0.3905,346.038748,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,1.013585728,4.940597961,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOS 1,FS215,Female,0.3905,374.3386823,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.866581929,4.963151682,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOS 1,FS216,Female,0.3905,339.6059329,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,1.168782058,5.328302215,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOS 1.5,FS217,Female,0.3905,243.605952,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,2.193019989,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOS 1.5,FS218,Female,0.3905,451.0102106,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,1.439464306,5.702465911,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOS 1.5,FS219,Female,0.3905,224.1419299,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.797988176,2.613801569,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOS 1.5,FS220,Female,0.3905,540.6634416,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,1.753030167,6.544751205,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOS 1.5,FS221,Female,0.3905,450.1845908,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,1.219501603,5.123417999,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOS 1.5,FS222,Female,0.3905,484.4936181,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,1.28029033,6.567821523,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOS 1.5,FS223,Female,0.3905,232.2929174,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,2.212426025,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOS 1.5,FS224,Female,0.3905,434.1245982,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,1.175727378,5.095386549,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
